City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Smolenka,RU,2022-04-18 18:03:47,52.1352,113.4974,41.07,48,100,4.47
214,Vestmanna,FO,2022-04-18 18:03:48,62.1564,-7.1664,45.52,76,75,19.57
215,Newport,GB,2022-04-18 18:01:58,51.5877,-2.9984,55.33,63,44,11.34
216,Durango,MX,2022-04-18 17:59:57,24.8333,-104.8333,81.03,22,54,9.73
217,Tevriz,RU,2022-04-18 18:03:49,57.509,72.4042,30.29,73,12,2.71
218,Bathsheba,BB,2022-04-18 18:03:50,13.2167,-59.5167,81.59,71,89,16.6
219,Chokurdakh,RU,2022-04-18 18:03:51,70.6333,147.9167,-5.85,100,51,4.65
220,Nouadhibou,MR,2022-04-18 18:03:51,20.931,-17.0347,65.17,86,54,16.28
221,Hamilton,US,2022-04-18 18:03:52,39.1834,-84.5333,40.95,88,100,19.57
222,Severnyy,RU,2022-04-18 18:03:52,50.677,36.5532,50.04,93,100,8.95
223,Naze,JP,2022-04-18 18:01:34,28.3667,129.4833,63.23,82,100,10.45
224,Eyl,SO,2022-04-18 18:03:53,7.9803,49.8164,82.81,79,1,8.66
225,Auki,SB,2022-04-18 18:03:54,-8.7676,160.7034,76.68,87,98,4.0
226,Sayansk,RU,2022-04-18 18:03:54,54.1088,102.1648,42.37,78,98,5.06
227,Zyryanka,RU,2022-04-18 18:03:55,65.75,150.85,-1.03,100,53,5.88
228,Nantucket,US,2022-04-18 18:01:54,41.2835,-70.0995,52.0,62,0,12.66
229,Moramanga,MG,2022-04-18 18:04:56,-18.9333,48.2,67.03,92,48,3.29
230,Umba,RU,2022-04-18 18:04:56,66.6871,34.3429,34.7,100,100,5.41
231,Presidencia Roque Saenz Pena,AR,2022-04-18 18:04:57,-26.7852,-60.4388,77.9,42,0,3.44
232,Grindavik,IS,2022-04-18 18:04:57,63.8424,-22.4338,45.07,65,75,14.97
233,Nuuk,GL,2022-04-18 18:01:53,64.1835,-51.7216,18.88,79,100,16.11
234,Bilibino,RU,2022-04-18 18:04:58,68.0546,166.4372,6.51,99,100,2.75
235,Ancud,CL,2022-04-18 18:04:59,-41.8697,-73.8203,53.22,73,87,6.71
236,Kattivakkam,IN,2022-04-18 18:04:59,13.2167,80.3167,86.09,86,57,8.03
237,Rio Cuarto,AR,2022-04-18 18:00:21,-33.1307,-64.3499,78.48,29,1,16.13
238,Taoudenni,ML,2022-04-18 18:05:01,22.6783,-3.9836,88.95,8,90,12.3
239,Viedma,AR,2022-04-18 18:05:01,-40.8135,-62.9967,74.43,37,89,19.46
240,Kragero,NO,2022-04-18 18:05:02,58.8693,9.4149,47.44,66,17,5.1
241,Gamba,GA,2022-04-18 18:05:02,-2.65,10.0,78.49,89,100,5.35
242,Namibe,AO,2022-04-18 18:05:03,-15.1961,12.1522,74.32,76,99,1.77
243,Bontang,ID,2022-04-18 18:05:03,0.1333,117.5,79.54,86,78,9.1
244,Jasper,US,2022-04-18 18:05:04,37.2001,-94.3502,56.01,45,75,13.8
245,Codrington,AU,2022-04-18 18:05:05,-38.2667,141.9667,55.33,86,100,9.44
246,Port Keats,AU,2022-04-18 18:05:06,-14.25,129.55,80.2,77,63,1.86
247,Misratah,LY,2022-04-18 18:05:06,32.3754,15.0925,59.97,60,1,22.06
248,Astoria,US,2022-04-18 18:01:17,46.1879,-123.8313,47.93,92,100,4.0
249,San Matias,BO,2022-04-18 18:05:08,-16.3667,-58.4,88.14,37,11,4.29
250,Persianovskiy,RU,2022-04-18 18:05:09,47.5137,40.1075,66.56,67,40,13.42
251,Kihei,US,2022-04-18 18:04:59,20.785,-156.4656,77.02,73,20,16.11
252,Saquisili,EC,2022-04-18 18:05:11,-0.8333,-78.6667,67.95,75,97,0.69
253,Beringovskiy,RU,2022-04-18 18:05:12,63.05,179.3167,28.72,98,100,5.7
254,Talnakh,RU,2022-04-18 18:05:13,69.4865,88.3972,15.87,95,100,10.58
255,Barinitas,VE,2022-04-18 18:05:13,8.7622,-70.4111,83.84,55,100,1.48
256,Gayeri,BF,2022-04-18 18:05:14,12.6497,0.4931,96.06,8,54,5.03
257,Marsh Harbour,BS,2022-04-18 18:05:15,26.5412,-77.0636,77.56,74,18,8.75
258,Vilyuysk,RU,2022-04-18 18:05:16,63.7553,121.6247,25.39,97,100,6.89
259,Young,UY,2022-04-18 18:01:12,-32.6833,-57.6333,73.11,48,61,6.02
260,Hlobyne,UA,2022-04-18 18:05:17,49.3878,33.2596,42.4,81,100,11.97
261,Rocha,UY,2022-04-18 18:05:18,-34.4833,-54.3333,73.33,46,75,12.03
262,Tongliao,CN,2022-04-18 18:05:19,43.6125,122.2653,54.39,26,2,14.09
263,Mitsamiouli,KM,2022-04-18 18:05:19,-11.3847,43.2844,82.81,72,21,4.03
264,Vostok,RU,2022-04-18 18:05:20,46.4856,135.8833,24.24,74,9,6.15
265,Samarai,PG,2022-04-18 18:05:20,-10.6167,150.6667,80.67,82,92,13.13
266,Bintulu,MY,2022-04-18 18:05:21,3.1667,113.0333,79.5,84,88,4.32
267,Belaya Gora,RU,2022-04-18 18:05:22,68.5333,146.4167,-3.14,100,96,3.04
268,Bogorodskoye,RU,2022-04-18 18:05:22,56.55,37.8833,37.33,70,55,5.03
269,Bridgetown,BB,2022-04-18 18:03:02,13.1,-59.6167,80.64,73,97,16.69
270,Rizhao,CN,2022-04-18 18:05:23,35.4275,119.4553,51.84,76,27,2.93
271,Fairlie,GB,2022-04-18 18:05:24,55.756,-4.8556,53.22,78,59,8.41
272,Lorengau,PG,2022-04-18 18:05:25,-2.0226,147.2712,82.36,74,100,7.63
273,Iguape,BR,2022-04-18 18:06:26,-24.7081,-47.5553,74.12,58,52,9.15
274,Marzuq,YE,2022-04-18 18:06:26,14.4,46.4667,74.44,52,11,6.02
275,Grand-Lahou,CI,2022-04-18 18:06:27,5.1367,-5.0242,77.09,88,100,9.37
276,Caravelas,BR,2022-04-18 18:06:27,-17.7125,-39.2481,80.42,57,29,11.01
277,Manzhouli,CN,2022-04-18 18:06:28,49.6,117.4333,50.0,40,26,5.48
278,Aljezur,PT,2022-04-18 18:06:28,37.3191,-8.8033,60.01,76,4,22.3
279,Victoria Point,AU,2022-04-18 18:06:29,-27.5833,153.3,64.44,94,38,4.07
280,Kaitangata,NZ,2022-04-18 18:06:30,-46.2817,169.8464,49.3,75,100,5.26
281,Ler,SS,2022-04-18 18:06:30,8.3018,30.1418,90.86,33,29,3.96
282,Kirakira,SB,2022-04-18 18:06:31,-10.4544,161.9205,78.85,84,94,5.53
283,Porto Walter,BR,2022-04-18 18:06:32,-8.2686,-72.7439,82.74,74,100,4.47
284,Belmonte,BR,2022-04-18 18:06:32,-15.8631,-38.8828,77.43,76,100,12.44
285,Constitucion,CL,2022-04-18 18:06:33,-35.3333,-72.4167,62.91,62,66,10.11
286,Chicama,PE,2022-04-18 18:06:33,-7.8447,-79.1469,63.14,62,61,11.14
287,Trepuzzi,IT,2022-04-18 18:06:34,40.4056,18.0756,54.84,52,91,17.34
288,Celestun,MX,2022-04-18 18:06:34,20.8667,-90.4,85.87,57,14,12.35
289,Havoysund,NO,2022-04-18 18:06:35,70.9963,24.6622,43.03,97,100,27.67
290,Los Llanos De Aridane,ES,2022-04-18 18:06:35,28.6585,-17.9182,65.95,78,40,18.41
291,Sembakung,ID,2022-04-18 18:06:36,3.8167,117.25,73.26,99,31,0.87
