City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Kieta,PG,-6.2167,155.6333,80.26,83,96,2.46,overcast clouds
316,Pangoa,PE,-12.1167,-73.0,66.67,89,90,2.75,overcast clouds
317,Fernley,US,39.608,-119.2518,49.21,43,12,1.99,few clouds
318,Bajna,IN,27.9,77.6833,103.6,12,100,11.01,overcast clouds
319,Gimbi,ET,9.1667,35.8333,78.49,40,98,2.84,overcast clouds
320,Ginir,ET,7.1333,40.7,73.76,49,93,8.16,light rain
321,Cayenne,GF,4.9333,-52.3333,77.09,1,75,1.14,moderate rain
322,Kodinsk,RU,58.6881,99.1844,37.29,75,100,4.36,overcast clouds
323,Gonen,TR,40.1049,27.654,57.16,62,56,1.01,broken clouds
324,Coihaique,CL,-45.5752,-72.0662,44.55,93,100,5.75,light rain
325,Kotma,IN,23.2,81.9667,106.03,8,61,6.04,broken clouds
326,Warri,NG,5.5167,5.75,89.89,59,100,3.65,overcast clouds
327,Salalah,OM,17.0151,54.0924,86.09,66,0,13.8,clear sky
328,Clarksburg,US,39.2807,-80.3445,53.71,68,75,0.0,broken clouds
329,Puerto Gaitan,CO,4.3133,-72.0816,74.98,88,100,4.29,overcast clouds
330,Polican,AL,40.6122,20.0981,64.29,49,99,6.26,overcast clouds
331,Plastun,RU,44.7561,136.2939,48.74,68,0,7.43,clear sky
332,Sangar,RU,63.9242,127.4739,25.12,91,97,2.75,overcast clouds
333,Port Hardy,CA,50.6996,-127.4199,46.4,83,100,12.26,overcast clouds
334,Kloulklubed,PW,7.0419,134.2556,77.5,77,100,21.05,light rain
335,Agidel,RU,55.9077,53.9355,46.36,51,68,13.38,broken clouds
336,Hay River,CA,60.8156,-115.7999,18.43,95,70,5.39,broken clouds
337,Maturin,VE,9.75,-63.1767,70.12,95,98,4.27,overcast clouds
338,Warrnambool,AU,-38.3833,142.4833,55.81,63,100,10.04,overcast clouds
339,Tarko-Sale,RU,64.9225,77.785,17.15,75,100,13.94,overcast clouds
340,Qaanaaq,GL,77.484,-69.3632,-8.45,76,38,6.93,scattered clouds
341,Kamina,CD,-8.7386,24.9906,68.18,89,100,3.53,light rain
342,Mandurah,AU,-32.55,115.7,73.9,51,6,12.1,clear sky
343,Faya,SA,18.3851,42.4509,79.32,33,56,11.97,broken clouds
344,Bilma,NE,18.6853,12.9164,97.41,6,0,6.93,clear sky
345,Arani,IN,12.6667,79.2833,102.38,22,68,11.07,broken clouds
